ClassIndex,Overstory,Bare,Rarc,Rmin,JAN-ALB,FEB_ALB,MAR-ALB,APR-ALB,MAY-ALB,JUN-ALB,JUL-ALB,AUG-ALB,SEP-ALB,OCT-ALB,NOV-ALB,DEC-ALB,JAN-ROU,FEB-ROU,MAR-ROU,APR-ROU,MAY-ROU,JUN-ROU,JUL-ROU,AUG-ROU,SEP-ROU,OCT-ROU,NOV-ROU,DEC-ROU,JAN-DIS,FEB-DIS,MAR-DIS,APR-DIS,MAY-DIS,JUN-DIS,JUL-DIS,AUG-DIS,SEP-DIS,OCT-DIS,NOV-DIS,DEC-DIS,WIND_H,RGL,SolAtn,WndAtn,Trunk,root_depth1,root_frac1,root_depth2,root_frac2,root_depth1,root_frac3,COMMENT
1,1,0,60,150,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,1.476,1.476,1.476,1.476,1.476,1.476,1.476,1.476,1.476,1.476,1.476,1.476,8.04,8.04,8.04,8.04,8.04,8.04,8.04,8.04,8.04,8.04,8.04,8.04,50,30,0.5,0.5,0.2,0.1,0.05,1,0.45,5,0.5,Evergreen Needleleaf
2,1,0,60,150,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,1.476,1.476,1.476,1.476,1.476,1.476,1.476,1.476,1.476,1.476,1.476,1.476,8.04,8.04,8.04,8.04,8.04,8.04,8.04,8.04,8.04,8.04,8.04,8.04,50,30,0.5,0.5,0.2,0.1,0.05,1,0.45,5,0.5,Evergreen Broadleaf
3,1,0,60,150,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,1.23,1.23,1.23,1.23,1.23,1.23,1.23,1.23,1.23,1.23,1.23,1.23,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,50,30,0.5,0.5,0.2,0.1,0.05,1,0.45,5,0.5,Deciduous Needleleaf
4,1,0,60,150,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,1.23,1.23,1.23,1.23,1.23,1.23,1.23,1.23,1.23,1.23,1.23,1.23,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,50,30,0.5,0.5,0.2,0.1,0.05,1,0.45,5,0.5,Deciduous Broadleaf
5,1,0,60,140,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,1.23,1.23,1.23,1.23,1.23,1.23,1.23,1.23,1.23,1.23,1.23,1.23,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,50,50,0.5,0.5,0.2,0.1,0.05,1,0.45,5,0.5,Mixed Cover
8,1,0,60,125,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,1.23,1.23,1.23,1.23,1.23,1.23,1.23,1.23,1.23,1.23,1.23,1.23,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,50,50,0.5,0.5,0.2,0.1,0.1,1,0.65,1,0.25,Woodland
9,0,0,40,125,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.495,0.495,0.495,0.495,0.495,0.495,0.495,0.495,0.495,0.495,0.495,0.495,1,1,1,1,1,1,1,1,1,1,1,1,5,75,0.5,0.5,0.2,0.1,0.1,1,0.65,1,0.25,Wooded Grasslands
6,0,0,50,135,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.495,0.495,0.495,0.495,0.495,0.495,0.495,0.495,0.495,0.495,0.495,0.495,1,1,1,1,1,1,1,1,1,1,1,1,5,75,0.5,0.5,0.2,0.1,0.1,1,0.65,1,0.25,Closed Shrublands
7,0,0,50,135,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.495,0.495,0.495,0.495,0.495,0.495,0.495,0.495,0.495,0.495,0.495,0.495,1,1,1,1,1,1,1,1,1,1,1,1,5,75,0.5,0.5,0.2,0.1,0.1,1,0.65,1,0.25,Open Shrublands
10,0,0,25,50,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.0738,0.0738,0.0738,0.0738,0.0738,0.0738,0.0738,0.0738,0.0738,0.0738,0.0738,0.0738,0.402,0.402,0.402,0.402,0.402,0.402,0.402,0.402,0.402,0.402,0.402,0.402,3,100,0.5,0.5,0.2,0.1,0.1,1,0.7,0.5,0.2,Grasslands
12,0,0,25,60,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.006,0.006,0.006,0.006,0.012,0.062,0.123,0.185,0.215,0.215,0.006,0.006,0.034,0.034,0.034,0.034,0.067,0.335,0.67,1.005,1.173,1.173,0.034,0.034,2,100,0.5,0.5,0.2,0.1,0.1,0.75,0.6,0.5,0.3,Crop land (corn)
13,0,1,0,0,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,Building up
16,0,1,0,0,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,Bare Soil
254,0,1,0,0,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,Unclassified
0,0,1,0,0,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,water body
